year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,salemonth,saleyear
2009,Toyota,Camry,LE,Sedan,automatic,4t4be46k49r113791,mn,,174543,gold,gray,executive fleet,5675,6600,12,2014
2009,Toyota,Camry,XLE V6,Sedan,automatic,4t1bk46k19u090327,ga,,164402,gold,beige,lewis page auto brokers,5550,5500,12,2014
2009,Toyota,Corolla,Base,Sedan,automatic,1nxbu40e49z034962,fl,,66262,silver,gray,toyota of tampa bay,6725,8000,12,2014
2009,Toyota,Camry,XLE,Sedan,automatic,4t1be46k89u378028,fl,39,105875,red,tan,jm lexus,8400,9200,12,2014
2009,Toyota,Sienna,XLE 7-Passenger,Minivan,automatic,5tdzk22c69s263964,ne,39,88418,beige,tan,dm northwest inc,12750,12900,12,2014
2009,Toyota,RAV4,Limited,SUV,automatic,jtmzf31v295004682,fl,35,126972,white,tan,r & b car sales inc,10000,10800,12,2014
2009,Toyota,Camry,XLE,Sedan,automatic,4t1be46k29u819443,nj,,180958,silver,—,sams auto wholesale inc,6850,6700,12,2014
2009,Toyota,Camry,XLE V6,Sedan,automatic,4t1bk46k29u075061,mn,,96117,black,gray,rudy luther toyota,7925,8500,12,2014
2009,Toyota,Matrix,Base,Hatchback,automatic,2t1ku40e49c144072,fl,35,76535,red,black,lenders option corporation,7225,6800,1,2015
2009,Toyota,Corolla,LE,Sedan,automatic,jtdbl40e09j028097,ga,31,54215,white,tan,germain toyota of sarasota,7325,7800,12,2014
2009,Toyota,Camry,XLE V6,Sedan,automatic,4t1bk46k89u084816,fl,3,132227,gold,beige,remarketing by ge/carville auto sales llc,7250,6800,12,2014
2009,Toyota,Camry Hybrid,Base,Sedan,automatic,4t1bb46k39u067325,tx,,94160,red,—,autonation toyota south austin,9275,6600,12,2014
2009,Toyota,Corolla,LE,Sedan,automatic,jtdbl40e699058299,va,27,96341,silver,gray,dt credit corporation,6725,7000,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t1be46k69u378688,fl,28,110521,blue,tan,automotive leasing specialist,7375,6900,12,2014
2009,Toyota,Camry,Base,Sedan,automatic,4t1be46kx9u877817,il,,45244,black,—,fields jeep inc,9125,8900,12,2014
2009,Toyota,Camry Hybrid,Base,Sedan,automatic,4t1bb46k89u094715,tx,3,38855,gray,tan,ipc investments inc,12750,14200,1,2015
2009,Toyota,Camry,LE,Sedan,automatic,4t4be46k09r095936,in,28,94088,red,gray,santander consumer,7800,8900,12,2014
2009,Toyota,Camry,SE,Sedan,automatic,4t1be46k49u299259,oh,,87326,gray,gray,elite auto group llc,8775,8600,12,2014
2009,Toyota,Highlander,Base,SUV,,jtees41a592118931,pa,44,58746,black,beige,crossroad motors llc,14950,16600,12,2014
2009,Toyota,Avalon,XL,Sedan,automatic,4t1bk36b29u338482,fl,25,69337,burgundy,gray,santander consumer,9325,8100,1,2015
2009,Toyota,Corolla,LE,Sedan,automatic,1nxbu40e79z015080,tx,,156366,gold,tan,jerry durant toyota,5825,6100,12,2014
2009,Toyota,Corolla,LE,Sedan,automatic,2t1bu40e49c157291,fl,32,63268,gold,tan,audi pembroke pines,7250,8200,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t1be46k89u846209,ga,25,74440,gray,beige,wells fargo dealer services,8325,8200,12,2014
2009,Toyota,Avalon,Limited,Sedan,automatic,4t1bk36b09u328629,fl,19,78362,silver,black,fiserv/crescent bank & trust,12100,6800,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t1be46k29u387887,ma,31,75482,gold,tan,right toyota,8325,8000,12,2014
2009,Toyota,Camry Hybrid,Base,Sedan,automatic,4t1bb46k49u104740,fl,44,25374,blue,gray,santander consumer,12800,12600,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t4be46k89r129086,il,22,174025,black,gray,wells fargo dealer services,5700,3700,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t1be46k89u264840,az,29,70414,gray,gray,wells fargo dealer services,8425,10500,12,2014
2009,Toyota,Camry,LE,Sedan,,4t4be46k09r136100,az,,148396,black,—,chapman chevrolet llc,6400,6500,12,2014
2009,Suzuki,SX4,Sport,Sedan,automatic,js2yc414096202453,tx,19,102015,green,black,superior auto rental,2625,2700,12,2014
2009,Toyota,Matrix,S,Hatchback,manual,2t1ke40ex9c002144,mn,4,90296,white,black,santander consumer,7425,7000,12,2014
2009,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u493491198,nj,21,69397,gray,gray,burns kull inc,9700,8000,1,2015
2009,Toyota,Corolla,LE,Sedan,automatic,jtdbl40e39j013240,ga,25,73317,green,beige,cameron motor sports,7075,7500,12,2014
2009,Toyota,Sienna,XLE 7-Passenger,Minivan,automatic,5tdzk22c39s233823,fl,24,79873,gray,gray,palm toyota,12750,10500,1,2015
2009,Toyota,Prius,Touring,Hatchback,automatic,jtdkb20u993466720,pa,38,41874,silver,gray,fairfield toyota,10750,12300,12,2014
2009,Toyota,Highlander,Limited,SUV,automatic,jteds42a192085923,ga,26,86843,gold,gray,germain toyota of sarasota,17500,16200,1,2015
2009,Toyota,Camry,Base,Sedan,automatic,4t1be46k49u351229,fl,,139219,silver,—,sell your car here,6750,7100,12,2014
2009,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u297885517,fl,33,139922,blue,beige,napletons nissan,6125,5900,12,2014
2009,Toyota,Highlander Hybrid,Limited,SUV,automatic,jteew44a892026678,va,28,129332,black,gray,brown toyota,14750,13000,1,2015
2009,Toyota,Highlander,Limited,SUV,automatic,jteds42a692069166,tn,31,78558,silver,gray,john roberts toyota,18150,17700,12,2014
2009,Toyota,Camry,Base,Sedan,automatic,4t1be46k29u877455,pa,38,54628,white,tan,sky motors,9225,7300,2,2015
2009,Toyota,Camry,LE,Sedan,automatic,4t4be46k29r125924,ny,,81955,gray,gray,g stone motors inc,8150,7300,12,2014
2009,Toyota,Corolla,Base,Sedan,,2t1bu40e99c072091,on,27,123565,red,gray,mercedes-benz,6125,5900,12,2014
2009,Toyota,Matrix,Base,Hatchback,automatic,2t1ku40e99c158971,fl,35,68695,white,gray,santander consumer,7650,7600,12,2014
2009,Toyota,Camry,SE,Sedan,automatic,4t1be46k89u354022,pr,36,54228,beige,gray,scotiabank de puerto rico,9875,9200,12,2014
2009,Toyota,Sienna,LE 7-Passenger,Minivan,automatic,5tdzk23c89s253886,tx,,121894,blue,tan,durant toyota,7225,7600,12,2014
2009,Suzuki,Grand Vitara,Premium,SUV,automatic,js3te042294100022,fl,34,81517,silver,black,rick case hyundai inc,6025,6500,12,2014
2009,Toyota,Prius,Touring,Hatchback,automatic,jtdkb20u393501042,tx,33,78267,green,gray,remarketing by ge/auto discounters,9200,9200,12,2014
2009,Suzuki,SX4,Crossover,Hatchback,manual,js2yb413395102749,sc,2,97807,red,gray,generations bank,3900,1500,12,2014
2009,Toyota,Camry,XLE V6,Sedan,,4t1bk46k09u094529,va,,62234,silver,—,joyce koons honda buick gmc,11000,10000,12,2014
2009,Toyota,Corolla,S,Sedan,manual,1nxbu40e79z067776,il,26,165719,black,black,san antonio roy baker motors inc,6625,4000,12,2014
2009,Toyota,Avalon,Limited,Sedan,automatic,4t1bk36b29u331113,tn,27,122514,—,tan,select automotive  llc,10200,9500,1,2015
2009,Toyota,Prius,Touring,Hatchback,automatic,jtdkb20u593523771,pa,29,106939,gray,gray,j magnone auto group llc,8125,6900,2,2015
2009,Toyota,Corolla,Base,Sedan,automatic,2t1bu40e89c115240,oh,4,62912,—,gray,ge fleet services for itself/servicer,7350,8200,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t1be46k89u856481,ma,4,172081,gray,black,fleet lease disposal,5775,6000,12,2014
2009,Subaru,Outback,2.5XT Limited,Wagon,,4s4bp63c394313610,pa,22,87372,white,beige,winner subaru/vw of dover,12150,12500,12,2014
2009,Toyota,Corolla,LE,Sedan,automatic,1nxbu40e99z019275,ga,22,91926,gold,beige,wells fargo dealer services,6800,6500,12,2014
2009,Subaru,Outback,2.5i Limited,Wagon,automatic,4s4bp66c397348531,tx,,61910,brown,tan,durant toyota,13700,12700,12,2014
2009,Subaru,Outback,2.5i Limited,Wagon,,4s4bp66c997317168,il,,94847,blue,—,honda & volvo of lisle,10750,9700,12,2014
2009,Toyota,Highlander,Limited,SUV,automatic,jtees42a292135040,fl,47,97032,beige,beige,firkins chrysler jeep dodge,17700,17200,1,2015
2009,Toyota,Camry,SE,Sedan,automatic,4t1be46k29u816963,nc,37,125741,gold,beige,santander consumer,7575,8300,12,2014
2009,Toyota,Corolla,S,Sedan,manual,1nxbu40e19z019495,az,,99024,silver,black,showcase wholesale auto llc,7900,7400,12,2014
2009,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u197841251,ca,,43069,white,tan,bill wright toyota,10150,11600,12,2014
2009,Toyota,Corolla,LE,Sedan,automatic,jtdbl40e09j009419,oh,28,100114,red,gray,santander consumer,6775,6200,12,2014
2009,Toyota,Sienna,XLE 7-Passenger,Minivan,automatic,5tdbk22c39s025264,nj,29,137967,black,gray,dch freehold llc,7750,8700,12,2014
2009,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u993492038,ga,,103398,white,gray,town & country motors ii,7400,7700,12,2014
2009,Toyota,Corolla,LE,Sedan,automatic,jtdbl40e899082491,fl,,47859,silver,gray,lax auto inc,7475,8500,12,2014
2009,Toyota,Matrix,Base,Hatchback,automatic,2t1ku40e09c001703,fl,,162842,silver,black,earl stewart toyota of north palm beach,5225,5000,12,2014
2009,Toyota,Camry,Base,Sedan,automatic,4t1be46kx9u313746,ca,,125999,red,—,mesa leasing company,7025,7800,12,2014
2009,Toyota,Prius,Base,Hatchback,,jtdkb20u993504527,pa,4,106205,gray,black,ourisman volkswagen mazda of rockville,7275,7600,12,2014
2009,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u593531773,fl,,58813,black,—,jenkins nissan  inc,9425,10500,12,2014
2009,Suzuki,SX4,Crossover,Hatchback,manual,js2yb417796202110,tx,,50089,orange,black,volkswagen of corpus christi,6550,6000,12,2014
2009,Toyota,Corolla,S,Sedan,automatic,1nxbu40e29z097574,in,28,113930,gray,black,remarketing of america,7225,6100,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t1be46k99u379723,fl,35,67334,gray,gray,santander consumer,8500,10200,12,2014
2009,Toyota,Corolla,LE,Sedan,automatic,jtdbl40e99j054603,fl,27,70540,gray,tan,rick case hyundai inc,7100,7900,12,2014
2009,Toyota,Corolla,S,Sedan,automatic,1nxbu40e39z086809,fl,,83144,gray,black,napleton's hyundai,8050,7200,12,2014
2009,Toyota,Prius,Touring,Hatchback,automatic,jtdkb20u297841520,nc,22,151245,silver,gray,fleet lease remarketing,5650,5400,3,2015
2009,Toyota,Corolla,S,Sedan,automatic,2t1bu40ex9c120651,pa,29,70511,black,black,jpmorgan chase bank n.a.,8450,7200,12,2014
2009,Toyota,Corolla,S,Sedan,automatic,1nxbu40e99z159908,il,24,23675,red,black,mercedes benz of chicago,9200,8000,12,2014
2009,Toyota,Corolla,LE,Sedan,automatic,jtdbl40e99j025697,ga,19,97436,red,beige,wells fargo dealer services,6700,6600,12,2014
2009,Volkswagen,Tiguan,SE,SUV,automatic,wvgav75n59w003338,tx,,59456,black,tan,boardwalk volkswagen,8725,7900,12,2014
2009,Volkswagen,Jetta,SE,Sedan,automatic,3vwrm71k49m068362,fl,39,90196,black,tan,lauderdale imports ltd bmw pembrok pines,6025,7300,12,2014
2009,Toyota,Yaris,Base,Hatchback,automatic,jtdkt903595257749,pr,,63335,gray,black,oriental bank,5950,3000,12,2014
2009,Volkswagen,Jetta,SportWagen SE,Wagon,automatic,3vwtm71k09m281881,wi,,72171,black,gray,sti fleet corp,8525,7800,12,2014
