year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,salemonth,saleyear
2006,Honda,Civic,Hybrid,Sedan,automatic,jhmfa36256s025862,ca,19,125334,gray,beige,newport acceptance corp,3900,4400,1,2015
2006,Cadillac,CTS,Base,Sedan,automatic,1g6dp577460106833,ca,19,131786,blue,tan,quality acceptance,4425,3100,12,2014
2006,Ford,F-150,XLT,SuperCab,automatic,1ftpx12576fa21927,ca,,125794,white,gray,david wilsons ford of orange,6750,4500,12,2014
2006,Chrysler,PT Cruiser,GT,Wagon,automatic,3a8fy78g16t372822,ca,25,126511,silver,gray,time finance co,2175,1900,1,2015
2006,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,2gcec19v161109730,ca,,94030,beige,—,cherry motors,8450,5800,12,2014
2006,HUMMER,H3,Base,SUV,automatic,5gtdn136168108106,ca,,166687,black,—,hb auto sales,6900,6600,12,2014
2006,Ford,Econoline Cargo,E-250,Van,automatic,1ftne24l96da55202,ca,1,98753,white,gray,remarketing by ge/film vehicle services,5850,5800,12,2014
2006,Ford,Focus,ZX4 SES,Sedan,automatic,1fafp34n56w118926,ca,26,173861,gray,gray,v/m auto broker,1300,1200,12,2014
2006,Kia,Sorento,LX,SUV,automatic,kndjd733365568729,ca,45,85499,silver,gray,bmw of murrieta,4425,6300,12,2014
2006,Ford,Focus,ZX4 SES,Sedan,automatic,1fafp34n56w172419,ca,23,108734,gray,gray,alliance motor cars,3425,3400,12,2014
2006,GMC,Sierra 1500,SL2,Crew Cab,automatic,2gtec13v661276173,ca,33,122585,black,gray,century dealer services corp,8450,9400,12,2014
2006,Ford,F-250 Super Duty,Lariat,Crew Cab,,1ftsw21p46eb54558,ca,,105075,blue,—,corona auto wholesale inc,17000,13600,12,2014
2006,Honda,Accord,LX,Sedan,automatic,1hgcm56446a186185,ca,,119201,silver,—,discovery imports,5150,6000,12,2014
2006,Chrysler,Town and Country,Touring,Minivan,automatic,2a4gp54l66r610263,ca,19,122846,blue,gray,wells fargo dealer services,3025,1700,12,2014
2006,Ford,Explorer,Eddie Bauer,SUV,automatic,1fmeu64e56ua50005,ca,27,82093,blue,beige,foreman financial,6625,6400,2,2015
2006,Ford,F-150,XLT,SuperCrew,automatic,1ftpw12556fb05327,ca,27,146274,gray,beige,s/s auto wholesale,7300,5900,12,2014
2006,Hyundai,Tucson,GLS,SUV,automatic,km8jn12d66u447375,ca,2,102662,black,gray,abc remarketing inc,5225,3700,12,2014
2006,Ford,F-150,XLT,SuperCrew,automatic,1ftpw12v86fa71237,ca,19,107563,gray,gray,wells fargo dealer services,9125,10000,12,2014
2006,Dodge,Charger,RT,Sedan,automatic,2b3ka53h66h476232,ca,2,100071,red,black,repo remarketing/the golden 1 credit union,8400,7000,12,2014
2006,Honda,Odyssey,Touring,Minivan,automatic,5fnrl38886b067062,ca,,195787,silver,—,wegge motor cars a corporation,3775,4900,12,2014
2006,Chrysler,PT Cruiser,Base,Convertible,automatic,3c3jy45x86t311086,ca,37,64066,green,gray,premium auto wholesale,3525,5100,12,2014
2006,Honda,Element,EX-P,SUV,automatic,5j6yh28746l013165,ca,29,95656,red,black,phillips auto brokerage,8775,10700,12,2014
2006,BMW,X5,3.0i,SUV,automatic,5uxfa13536ly41496,ca,26,72782,white,tan,newport lexus,8775,10250,12,2014
2006,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,1ftsw21p46eb18577,ca,,230860,gray,—,alliance motor cars,6725,8800,12,2014
2006,Honda,CR-V,Special Edition,SUV,automatic,jhlrd78986c006064,ca,,89225,gold,tan,honda of escondido,8450,9300,12,2014
2006,Honda,Civic,Hybrid,Sedan,automatic,jhmfa36226s009053,ca,,178035,gray,—,maz house of cars,2975,3200,12,2014
2006,Ford,F-350 Super Duty,XL,Crew Cab,automatic,1ftsw31p36ed90138,ca,29,197351,white,gray,nationwide motor vehicles,6450,5800,1,2015
2006,Chevrolet,Equinox,LT,SUV,automatic,2cndl63f166017252,ca,36,136694,silver,gray,acura of riverside,3550,3900,12,2014
2006,Ford,F-150,XL,Regular Cab,manual,1ftrf12226nb39004,ca,23,96608,blue,gray,worthington ford,4725,4900,12,2014
2006,Chevrolet,Silverado 1500,LT3,Crew Cab,automatic,2gcec13tx61117493,ca,38,88628,white,gray,orange coast chrysler jeep dodge,11500,13250,12,2014
2006,Dodge,Magnum,RT,Wagon,automatic,2d4gv57286h489081,ca,29,125848,blue,beige,worthington ford,6325,6000,12,2014
2006,Chevrolet,Monte Carlo,LT,Coupe,automatic,2g1wm15k869286895,ca,19,108277,beige,black,south bay hyundai,3775,2700,12,2014
2006,Chrysler,300,Base,Sedan,automatic,2c3la43r26h471832,ca,19,120175,black,black,quality acceptance,4600,4100,12,2014
2006,Toyota,Camry,LE,Sedan,automatic,jtdbe32k063047983,ca,,70250,black,beige,azure autos,6775,6500,12,2014
2006,Lexus,GS 430,Base,Sedan,,jthbn96s165014331,ca,,165992,gray,—,bmw of murrieta,9475,9250,12,2014
2006,Toyota,Corolla,LE,Sedan,automatic,1nxbr32e56z600356,ca,21,145746,silver,gray,springleaf financial services/evansville,4250,4000,12,2014
2006,Toyota,RAV4,Base,SUV,automatic,jtmzd33v466001243,ca,26,158500,black,brown,cabe toyota,6375,3600,12,2014
2006,Volvo,XC90,V8,SUV,automatic,yv4cz852261296537,ca,29,121560,silver,beige,remarketing by ge/manheim california,6425,2500,12,2014
2006,Toyota,Sienna,LE 8-Passenger,Minivan,automatic,5tdza23c06s444667,ca,35,193632,white,gray,high line auto inc,4000,4700,1,2015
2006,Toyota,Avalon,Touring,Sedan,automatic,4t1bk36b16u080614,ca,,124996,silver,—,south county lexus at mission viejo,5650,7200,12,2014
2006,Nissan,Xterra,X,SUV,automatic,5n1an08u26c520961,ca,22,174365,blue,brown,western motors/aide rent a car,3800,2250,2,2015
2005,Acura,TL,3.2,Sedan,automatic,19uua66265a027023,ca,29,117227,silver,black,time finance co,6500,7600,12,2014
2006,Nissan,Frontier,SE,Crew Cab,automatic,1n6ad07ux6c474186,ca,34,107372,silver,gray,onemain rem/m&m auto traders,8700,10400,12,2014
2006,Volkswagen,GTI,Base,Hatchback,automatic,wvwfv71k86w134684,ca,24,130600,black,gray,claremont volkswagen,4200,4300,1,2015
2006,Nissan,Murano,SL,SUV,automatic,jn8az08t26w420555,ca,26,114938,gray,black,billion dodge chrysler jeep,6700,7200,12,2014
2006,Toyota,Sienna,XLE Limited 7-Passenger,Minivan,automatic,5tdza22c16s516185,ca,,109745,gold,—,detroit west auto wholesale,7475,8600,12,2014
2006,landrover,range,rover 4.2l s/c,,automatic,salmf13446a207491,ca,28,95312,black,black,the car exchange,16000,14250,12,2014
2006,Mercedes-Benz,E-Class,E350,Wagon,automatic,wdbuh56j36a871967,ca,19,155900,blue,gray,onemain rem/manheim san francisco bay,5450,3300,12,2014
2006,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41ex6c811583,ca,41,95930,gray,gray,v/m auto broker,5325,2800,12,2014
2006,Mercedes-Benz,E-Class,E350,Sedan,automatic,wdbuf56j36a862028,ca,19,122416,white,tan,wells fargo dealer services,6725,4900,12,2014
2006,Mercedes-Benz,CLK-Class,CLK500,Coupe,automatic,wdbtj75h96f181198,ca,28,1,black,black,quality acceptance,13250,3500,12,2014
2006,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d66n419457,ca,19,91168,blue,black,mas financial services,4500,3000,12,2014
2006,Mercedes-Benz,E-Class,E350,Sedan,automatic,wdbuf56j06a803082,ca,42,143199,gray,black,autobahn motors,6125,6600,12,2014
2006,Volkswagen,Passat,2.0T,Sedan,automatic,wvwak73c46p102382,ca,19,154402,white,black,primeritus remarketing/cu recovery,2550,2000,12,2014
2006,Porsche,Cayman S,Base,Coupe,manual,wp0ab29856u780789,ca,47,65696,white,tan,sports trend auto sales,22200,24500,12,2014
2006,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u167505532,ca,26,117353,silver,gray,remarketing by ge/manheim riverside,5675,6000,12,2014
2006,Volkswagen,New Beetle,2.5,Convertible,automatic,3vwrf31y26m300881,ca,2,53790,gray,black,cig financial,4775,2600,12,2014
2006,Mercedes-Benz,E-Class,E350,Sedan,automatic,wdbuf56j36a734338,ca,43,75559,silver,black,southwest auto inc,8200,8700,12,2014
2006,Lexus,IS 350,Base,Sedan,automatic,jthbe262765004605,ca,31,162608,black,black,chaser inc,8050,7000,12,2014
2005,Audi,A4,1.8T,Sedan,manual,waujc68e75a091829,ca,,1,gray,black,quality acceptance,5675,2500,12,2014
2006,Lincoln,Mark LT,Base,Crew Cab,automatic,5ltpw18566fj07866,ca,35,134216,gray,gray,ak international inc,11250,9600,12,2014
2006,Lincoln,Mark LT,Base,Crew Cab,,5ltpw18576fj11313,ca,19,91307,gold,beige,santander consumer,13650,12100,12,2014
2006,Nissan,Pathfinder,LE,SUV,automatic,5n1ar18w16c663170,ca,26,129713,red,beige,honda of pasadena,6575,7300,1,2015
2006,Mercedes-Benz,C-Class,C230 Sport,Sedan,automatic,wdbrf52h36a813761,ca,22,113229,silver,black,remarketing by ge/manheim california,5400,4400,12,2014
2006,Mercedes-Benz,CLK-Class,CLK350,Convertible,,wdbtk56g06t063310,ca,,73299,black,—,mercedes benz of oakland,9975,8900,12,2014
2006,Subaru,Impreza,2.5 i,Sedan,automatic,jf1gd67616h507554,ca,26,163374,gray,black,phillips auto brokerage,1925,3100,12,2014
2006,Nissan,Pathfinder,LE,SUV,,5n1ar18ux6c627069,ca,2,157883,red,beige,tradewinds remarketing,4300,4500,12,2014
2006,Toyota,Corolla,CE,Sedan,automatic,jtdbr32e860066832,ca,,195947,silver,—,concord toyota,2700,3400,12,2014
2006,Nissan,Murano,S,SUV,automatic,jn8az08t16w421731,ca,,146955,white,tan,audi san diego,5150,5400,12,2014
2005,Audi,S4,quattro,Convertible,automatic,wuarl48h65k900786,ca,25,59255,silver,black,remarketing by ge/manheim san diego,10200,9200,12,2014
2006,Volkswagen,Passat,2.0T,Sedan,automatic,wvwak93c96p040036,ca,27,95619,gray,gray,quality acceptance,4325,3500,12,2014
2006,Mercedes-Benz,E-Class,E350,Sedan,automatic,wdbuf56j16a777270,ca,38,108021,blue,tan,land rover san jose,7500,7300,12,2014
2006,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d66n429180,ca,29,130115,black,gray,veros credit,3375,3300,12,2014
2006,Nissan,Murano,SE,SUV,automatic,jn8az08w06w542275,ca,23,103234,black,black,tdaf remarketing,5500,7100,12,2014
2006,Mercedes-Benz,E-Class,E350,Sedan,automatic,wdbuf56j96a937380,ca,4,144503,blue,gray,bmw of riverside,6075,5800,12,2014
2006,Mercedes-Benz,R-Class,R350,Wagon,automatic,4jgcb65e36a012768,ca,3,86995,blue,black,american car finance inc,8300,5500,12,2014
2006,Volvo,XC90,V8,SUV,automatic,yv4cz852761291270,ca,44,120414,gray,gray,national auto clearing house,6025,7400,12,2014
2006,Toyota,Camry,XLE,Sedan,automatic,4t1be32k06u658425,ca,2,155805,gray,gray,time finance co,4325,4000,12,2014
2006,Toyota,Highlander,Sport,SUV,automatic,jtegp21a560113976,ca,,129749,silver,—,james family auto sales,6325,8100,12,2014
2006,Lexus,ES 330,Base,Sedan,automatic,jthba30g865158150,ca,,141941,black,—,lexus of serramonte,6500,4300,12,2014
2006,Mitsubishi,Lancer,Ralliart,Sedan,automatic,ja3aj66f86u003440,ca,,125908,gray,black,integrity motors,3000,1800,12,2014
2006,Pontiac,G6,Base,Sedan,automatic,1g2zf55b064165047,ca,1,101678,red,black,finn's discount auto inc,3950,800,3,2015
2006,Toyota,Camry,XLE V6,Sedan,automatic,jtdbf30k460170753,ca,26,76252,blue,gray,aaero sweet company,7425,8900,12,2014
2006,landrover,rangerover,sport hse,,automatic,salsf25426a909688,ca,23,81720,silver,black,remarketing by ge/manheim california,15550,13500,12,2014
2006,Mercedes-Benz,E-Class,E350,Sedan,automatic,wdbuf56j76a962374,ca,38,87223,silver,gray,hoehn motors inc,7850,8900,12,2014
2006,Nissan,Murano,SL,SUV,automatic,jn8az08t36w412237,ca,28,90484,black,black,first credit finance,7275,6900,1,2015
2006,Toyota,Camry,XLE,Sedan,automatic,4t1be32k46u132699,ca,19,160415,red,gray,wells fargo dealer services,4625,2100,12,2014
2006,Saturn,ION,2,Sedan,automatic,1g8aj55f96z152823,ca,19,117546,gray,gray,aaero sweet company,2250,1400,12,2014
2005,Acura,RSX,Base,Hatchback,automatic,jh4dc54895s009909,ca,19,207575,black,black,california auto exchange,1500,2500,12,2014
2006,Mercedes-Benz,CLS-Class,CLS500,Sedan,automatic,wdddj75x56a055114,ca,36,72225,blue,black,billion dodge chrysler jeep,14350,14250,1,2015
2006,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb86e76a033158,ca,43,154716,blue,gray,desert auto trade,7875,8400,12,2014
2006,Toyota,Sienna,XLE Limited 7-Passenger,Minivan,automatic,5tdza22c56s478704,ca,19,92985,gold,brown,century dealer services corp,9075,6000,1,2015
2006,Nissan,Sentra,1.8 S,Sedan,,3n1cb51d06l577129,ca,19,115726,gray,gray,veros credit,3250,2900,12,2014
2006,Mercedes-Benz,CLK-Class,CLK350,Convertible,automatic,wdbtk56g56t056112,ca,28,143788,silver,black,orange county's credit union,6300,5000,12,2014
2006,Nissan,Xterra,S,SUV,automatic,5n1an08u16c552381,ca,19,97466,white,black,santander consumer,5950,4000,12,2014
2006,Toyota,Camry,XLE,Sedan,automatic,4t1be30k66u679539,ca,35,83944,gray,gray,hoehn honda,5925,7400,12,2014
2006,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb86e16a004044,ca,32,104110,gray,gray,high bid trading co inc,9750,10400,12,2014
2006,Toyota,Camry,LE,Sedan,,4t1be32kx6u150379,ca,26,112765,gold,beige,repo remarketing/north island fcu,5750,5100,1,2015
2006,Scion,xB,Base,Wagon,automatic,jtlkt324864046327,ca,,226681,white,black,toyota of poway,1725,2600,12,2014
2006,Lexus,IS 250,Base,Sedan,automatic,jthbk262962017835,ca,28,173074,silver,black,v/m auto broker,7250,6500,12,2014
2006,Volvo,S40,2.4i,Sedan,automatic,yv1ms390562166666,ca,35,131412,white,beige,aaero sweet company,3600,2800,12,2014
2006,Nissan,Murano,SL,SUV,automatic,jn8az08t56w421327,ca,,133084,silver,—,skyhigh remarketing inc,5975,5900,12,2014
2006,Nissan,Frontier,SE,Crew Cab,automatic,1n6ad07u66c420092,ca,27,103552,black,gray,wells fargo dealer services,8925,8100,12,2014
2006,Nissan,Titan,LE,Crew Cab,automatic,1n6aa07a76n526747,ca,26,170274,black,gray,cig financial,4850,4800,12,2014
2006,Nissan,Altima,2.5,Sedan,automatic,1n4al11d36n376812,ca,,121780,gray,gray,a l financial,3950,1100,12,2014
2006,land rover,range,rover sport hse,,automatic,salsf25466a914196,ca,,120176,white,—,apexcars net,12850,13600,12,2014
2006,Toyota,Corolla,CE,Sedan,automatic,1nxbr32e36z649331,ca,19,233155,white,gray,veros credit,2100,2200,12,2014
2006,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp552261290580,ca,37,185794,white,black,dutton motor co,1325,2000,12,2014
2006,Mercedes-Benz,CLK-Class,CLK500,Convertible,automatic,wdbtk75g16t065371,ca,19,238966,black,gray,remarketing by ge/manheim riverside,8100,3400,1,2015
2006,Mercedes-Benz,CL-Class,CL500,Coupe,automatic,wdbpj75j46a047913,ca,29,67521,black,black,remarketing by ge/manheim california,12600,7800,12,2014
2006,Toyota,Corolla,CE,Sedan,automatic,jtdbr32e960092985,ca,23,141203,black,gray,felix chevrolet & cadillac,3825,4300,12,2014
2005,Acura,MDX,Touring,SUV,automatic,2hnyd18975h513579,ca,25,134755,black,black,mercedes benz of foothill ranch,6625,6300,12,2014
2006,Lexus,GS 300,Base,Sedan,automatic,jthbh96s965027092,ca,29,81312,black,beige,bmw of murrieta,12400,13800,12,2014
2006,Toyota,Sienna,XLE Limited 7-Passenger,Minivan,automatic,5tdza22cx6s555017,ca,19,125079,blue,brown,wells fargo dealer services,7225,7100,12,2014
2006,MINI,Cooper,Base,Hatchback,automatic,wmwrc335x6tj75870,ca,,94791,white,—,fast trax auto,4525,2300,12,2014
2006,Mercedes-Benz,M-Class,ML500,SUV,automatic,4jgbb75e16a002533,ca,44,145175,silver,black,hoehn motors inc,8275,8000,12,2014
2006,Toyota,Tundra,SR5,Access Cab,automatic,5tbrt34126s475599,ca,21,125309,silver,gray,santander consumer,8850,8600,12,2014
2006,MINI,Cooper,S,Hatchback,automatic,wmwre33516tj35803,ca,29,89953,gray,gray,claremont volkswagen,5525,6700,12,2014
2006,Nissan,Xterra,S,SUV,,5n1an08u76c507056,ca,34,129960,black,gray,skyhigh remarketing inc,4925,5000,12,2014
2006,Mercedes-Benz,E-Class,E55 AMG,Sedan,automatic,wdbuf76j86a909243,ca,39,94002,gray,blue,in line motors,13850,14750,12,2014
2006,Toyota,Corolla,S,Sedan,,1nxbr30ex6z641634,ca,,119634,white,—,dutton motor co,5350,5400,12,2014
2006,Mercedes-Benz,E-Class,E500,Sedan,automatic,wdbuf70j56a944296,ca,46,55606,silver,gray,california auto wholesale,10850,14600,12,2014
2006,nissan,350z,,,manual,jn1az34dx6m309424,ca,19,86329,white,black,wells fargo dealer services,8800,10400,12,2014
2006,Nissan,Titan,LE,Crew Cab,,1n6aa07a36n551676,ca,,92781,gold,—,m l sim,9625,12200,12,2014
2006,Toyota,Camry Solara,SLE V6,Coupe,automatic,4t1ca30p36u087205,ca,29,63508,white,gray,aaero sweet company,8650,10100,12,2014
2006,Volkswagen,New Beetle,2.5,Convertible,automatic,3vwsf31y66m301727,ca,29,89803,white,beige,hoehn motors inc,3975,3600,12,2014
2006,Toyota,Sienna,XLE Limited 7-Passenger,Minivan,automatic,5tdza22c76s453786,ca,29,94413,green,gray,skyhigh remarketing inc,9325,12000,12,2014
2006,landrover,lr3,v8 se,,automatic,salad254x6a389743,ca,35,83000,black,beige,hornburg jaguar,6000,9900,12,2014
2006,Nissan,Maxima,3.5 SE,Sedan,automatic,1n4ba41e86c807421,ca,19,154501,blue,—,veros credit,2900,2100,12,2014
2006,Volkswagen,Jetta,2.5 PZEV,Sedan,automatic,3vwdg71k56m747666,ca,24,90914,gray,gray,elad motors,4575,4900,12,2014
2006,Nissan,Maxima,3.5 SE,Sedan,automatic,1n4ba41e76c813243,ca,19,95699,blue,black,quality acceptance,5350,3700,12,2014
2005,Acura,TL,3.2,Sedan,automatic,19uua66265a007242,ca,19,175649,white,beige,800 loan mart,4250,3900,12,2014
2006,Mercedes-Benz,C-Class,C230 Sport,Sedan,automatic,wdbrf52h76a880881,ca,41,89216,blue,gray,high bid trading co inc,6350,7400,12,2014
2006,MINI,Cooper,S,Convertible,manual,wmwrh33596tf87718,ca,24,57882,green,black,s & p auto leasing,7500,4300,12,2014
2006,Toyota,Camry Solara,SLE V6,Convertible,automatic,4t1fa38p86u104419,ca,28,97107,red,beige,gm financial,6950,6300,12,2014
2006,Nissan,Armada,LE,SUV,automatic,5n1aa08b16n715481,ca,26,99011,silver,gray,nvp remarketing,9700,12100,12,2014
2006,Scion,xB,Base,Wagon,,jtlkt324264043021,ca,26,151318,burgundy,black,redline remarketing,3775,2500,12,2014
2005,Audi,S4,quattro,Sedan,manual,waupl68e55a023328,ca,,82318,black,—,star car sports llc,10500,9000,12,2014
2006,mazda,rx8,,,manual,jm1fe173860200098,ca,22,73754,gray,gray,onemain rem/hawthorne motors pre-owned,4525,2800,12,2014
2006,Volkswagen,Passat,2.0T,Sedan,automatic,wvwak73c36p144235,ca,25,121842,gray,black,northwest import sales,3550,2800,12,2014
2006,Mercedes-Benz,C-Class,C230 Sport,Sedan,automatic,wdbrf52h76a909344,ca,,125249,white,—,mercedes benz of walnut creek,4925,5600,12,2014
2005,Audi,A8,quattro,Sedan,automatic,waull44e45n010099,ca,27,156867,black,brown,yucca valley ford center,3700,5000,12,2014
2006,Nissan,Armada,SE,SUV,automatic,5n1aa08ax6n729810,ca,27,116609,silver,gray,wells fargo dealer services,7350,7400,12,2014
2006,Toyota,Corolla,S,Sedan,automatic,1nxbr30e96z663432,ca,36,41603,white,black,santander consumer,6950,8500,12,2014
2006,Nissan,Sentra,1.8 S,Sedan,,3n1cb51d46l636182,ca,24,135733,white,gray,wells fargo dealer services,2850,3500,12,2014
2006,Mercedes-Benz,CLS-Class,CLS500,Sedan,automatic,wdddj75xx6a066416,ca,36,70406,gray,black,clear view systems,15200,16000,12,2014
2006,Volkswagen,Touareg,V8,SUV,automatic,wvgzm77lx6d007829,ca,3,123139,silver,black,jpmorgan chase bank n.a.,5500,3000,12,2014
2006,Volkswagen,Passat,2.0T,Sedan,automatic,wvwek73c86p064432,ca,,83047,gray,—,chaser inc,4725,2600,12,2014
2006,porsche,911,4x2 6c carrera s,,automatic,wp0cb29976s768527,ca,45,24698,black,black,audi north scottsdale,43100,37500,12,2014
2006,Pontiac,G6,Base,Sedan,automatic,1g2zg558864180977,ca,,131672,blue,—,b link auto marine,3250,3200,12,2014
2006,Toyota,Sienna,LE 8-Passenger,Minivan,automatic,5tdza23c16s413900,ca,19,159760,silver,gray,800 loan mart,4400,3900,12,2014
2006,MINI,Cooper,Base,Hatchback,automatic,wmwrc33556tk17829,ca,,108401,white,beige,w i simonson,3900,3900,12,2014
2006,Saturn,ION,2,Sedan,automatic,1g8aj55f16z197190,ca,39,146406,white,gray,wondries toyota,1525,1400,12,2014
2006,lexus,gx,470,,automatic,jtjbt20x060120959,ca,34,155974,white,beige,lexus financial services,13300,13600,12,2014
2005,Audi,A8,L quattro,Sedan,automatic,wauml44ex5n010256,ca,34,118813,black,brown,high bid trading co inc,6625,7000,12,2014
2006,Saturn,Relay,3,Minivan,automatic,5gzdv23106d178364,ca,,52205,white,gray,toyota of poway,5025,5400,12,2014
2006,landrover,rangerover,hse,,automatic,salme15426a226976,ca,22,140194,white,black,top finance company inc.,8250,6250,12,2014
2006,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp552861298280,ca,19,197087,black,gray,rpm lenders,1475,800,1,2015
2006,Nissan,Pathfinder,LE,SUV,automatic,5n1ar18w86c626066,ca,28,150368,red,black,repo remarketing/first imperial cu,4900,4400,12,2014
2006,Lexus,IS 250,Base,Sedan,automatic,jthbk262365014590,ca,38,140449,silver,gray,desert auto trade,8550,9800,12,2014
2006,lexus,lx,470,,automatic,jtjht00w064015370,ca,19,182911,black,gray,aq motors,18200,17000,12,2014
2005,Acura,TL,3.2,Sedan,automatic,19uua66245a069478,ca,35,129759,gray,gray,bmw of murrieta,5975,6500,12,2014
2006,Mercedes-Benz,C-Class,C230 Sport,Sedan,automatic,wdbrf52h16f747164,ca,33,95453,black,blue,valmot,6100,5800,12,2014
2006,Toyota,Corolla,S,Sedan,manual,1nxbr32ex6z726342,ca,19,141589,blue,black,800 loan mart,3875,2700,12,2014
2006,Toyota,Camry,LE,Sedan,,4t1be32k36u105624,ca,29,62136,gold,gray,onemain rem/m&m auto traders,6825,7500,12,2014
2006,Toyota,Corolla,LE,Sedan,,1nxbr30e56z581875,ca,19,92863,black,black,jason t gilmer,6000,5600,12,2014
2006,Nissan,Pathfinder,LE,SUV,automatic,5n1ar18w26c634955,ca,36,188838,gray,gray,onemain rem/delta dealer,3650,5300,12,2014
2005,Audi,allroad quattro,Base,Wagon,automatic,wa1yd64b45n024988,ca,19,121261,blue,black,k & s auto sales,4975,2900,12,2014
2006,Mercedes-Benz,E-Class,E350,Sedan,automatic,wdbuf56j76a868706,ca,19,124984,gray,gray,a/k auto sales,6850,4900,12,2014
2006,Toyota,Avalon,XLS,Sedan,automatic,4t1bk36b56u123559,ca,,114970,blue,gray,toyota of poway,7675,7000,12,2014
2006,Lexus,IS 350,Base,Sedan,automatic,jthbe262465001094,ca,38,178030,gray,gray,volkswagen of murrieta,7250,7600,12,2014
2006,Toyota,Highlander,Base,SUV,automatic,jteep21a460167065,ca,,128085,silver,—,apexcars net,7350,10000,12,2014
2006,Toyota,Avalon,Limited,Sedan,automatic,4t1bk36b76u155445,ca,36,52721,silver,gray,premium auto wholesale,9200,10400,12,2014
2005,Acura,TL,3.2,Sedan,automatic,19uua66225a018027,ca,23,156852,white,beige,lobel financial corp,4875,3600,12,2014
2006,Volkswagen,Jetta,Value Edition PZEV,Sedan,automatic,3vwpg71k66m725446,ca,28,104928,silver,black,capitol mazda,3325,4200,1,2015
2006,Nissan,Altima,3.5 SE,Sedan,automatic,1n4bl11dx6c175070,ca,27,53320,gray,gray,billion dodge chrysler jeep,6725,4600,12,2014
2006,MINI,Cooper,S,Hatchback,automatic,wmwre33516tj39818,ca,,106858,red,black,mini of san diego,5050,4900,12,2014
2006,Lexus,GS 300,Base,Sedan,automatic,jthbh96s365010949,ca,,142333,silver,—,apexcars net,9600,9000,12,2014
2006,land rover,range,rover 4.2l s/c,,automatic,salmf13476a210174,ca,28,94332,black,black,us bank,16050,14000,12,2014
2006,Volkswagen,GTI,Base,Hatchback,manual,wvwev71k26w084800,ca,1,110615,black,black,wells fargo dealer services,4750,4000,1,2015
2006,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp552x61215853,ca,19,124592,white,black,jpmorgan chase bank n.a.,3325,1700,12,2014
2006,Saab,9-3,2.0T,Convertible,automatic,ys3fd79y766100305,ca,19,73926,black,gray,m l sim,5075,4700,1,2015
2006,Mercedes-Benz,E-Class,E350,Sedan,automatic,wdbuf56j26a761577,ca,19,119806,white,gray,nextgear capital,6850,4500,12,2014
2006,Lincoln,Navigator,Ultimate,SUV,automatic,5lmfu27556lj12689,ca,42,107839,white,gray,remarketing by ge/schools first fcu,7775,7750,12,2014
2006,Volkswagen,Jetta,2.5,Sedan,automatic,3vwrf71kx6m676246,ca,,138556,gray,gray,mazda of orange,3100,3600,12,2014
2006,Scion,xB,Base,Wagon,automatic,jtlkt324464093029,ca,2,104193,blue,black,quality acceptance,5075,4600,12,2014
2006,landrover,rangerover,hse,,automatic,salmf15486a213839,ca,3,129199,green,green,tradewinds remarketing,8975,5200,12,2014
2006,MINI,Cooper,S,Hatchback,automatic,wmwre33546tj37562,ca,44,106256,black,black,joslin mobile inc,4925,5200,12,2014
2006,Nissan,Xterra,S,SUV,automatic,5n1an08u86c510449,ca,3,148407,red,gray,metro nissan of montclair,3975,2600,12,2014
2006,land rover,range,rover sport hse,,automatic,salsf25446a975403,ca,21,92870,silver,black,jpmorgan chase bank n.a.,14650,13250,12,2014
2006,Nissan,Maxima,3.5 SE,Sedan,automatic,1n4ba41e76c813159,ca,19,105846,silver,black,remarketing by ge/xpress rent a car,4775,5250,12,2014
2006,land rover,range,rover 4.2l s/c,,automatic,salmf134x6a204756,ca,24,36016,black,beige,hornburg jaguar santa monica,21100,23000,12,2014
2006,Nissan,Altima,3.5 SE,Sedan,automatic,1n4bl11d56n364861,ca,2,113495,silver,black,time finance co,4850,2700,12,2014
2006,landrover,lr3,v8 se,,automatic,salae25496a399032,ca,36,131663,gray,black,penegon mission viejo inc,6725,5200,12,2014
2006,Toyota,Corolla,LE,Sedan,automatic,1nxbr32e86z596741,ca,19,195857,red,brown,800 loan mart,3275,2300,12,2014
2006,Toyota,Highlander,Base,SUV,automatic,jtegd21a260149567,ca,19,217576,red,silver,aq motors,4900,4800,12,2014
2005,BMW,3 Series,325i,Sedan,automatic,wbaaz33425kw79563,ca,19,156152,black,black,high bid trading co inc,2225,2000,12,2014
2006,Toyota,Avalon,Touring,Sedan,automatic,4t1bk36b06u106037,ca,36,102174,white,black,desert auto trade,6000,8500,12,2014
2006,Volkswagen,Passat,2.0T,Sedan,automatic,wvwak73c26p100095,ca,36,83263,silver,black,nvp remarketing,4725,6100,12,2014
